,Description,Address,Price,No of beds,No of baths,No of toilets
142,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
143,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
144,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
145,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
146,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
147,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
148,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
149,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
150,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
151,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
152,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
153,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
154,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
155,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
156,3 bedroom Duplex ,Maryland Estate Badore Ajah Lagos,Not available,3 beds,3 baths,4 Toilets
157,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
158,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
159,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
160,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
161,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
162,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
163,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
164,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
165,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
166,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
167,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
168,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
169,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
170,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
171,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
172,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
173,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
174,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
175,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
176,Functional school on one and half plot of Land ,Festac Amuwo Odofin Lagos,"₦105,000,000",0 beds,0 baths,0 Toilets
177,3 bedroom duplex in a private gated residential estate in Lekki. behind World Oil,"Graceville Estate, Hon Ajayi Alaba Street Ilasan Lekki Lagos",Not available,3 beds,4 baths,5 Toilets
178,Promo Price still selling @ 10m The Emperor Pillars FESTAC Town is selling Plots of Land N10m Per Plot,Festact Town in Amuwo Odofin Festac Amuwo Odofin Lagos,"₦10,000,000", beds, baths, Toilets
179,Land Two Plot Together fenced round,Behind ASPAMDA INTERNATIONAL TRADE FAIR MARKET Abule Ado Festac Amuwo Odofin Lagos,"₦50,000,000",0 beds,0 baths,0 Toilets
180,3767sqm Dry land,Festac Amuwo Odofin Lagos,"₦750,000,000", beds, baths, Toilets
181,Land ,6th Avenue Festac Amuwo Odofin Lagos,"₦15,000,000",0 beds,0 baths,0 Toilets
182,"10,000sqm Fenced & Gated Vacant Land Suitable for Estate Development, etc",Festac Amuwo Odofin Lagos,"₦650,000,000", beds, baths, Toilets
183,9 Acres of Land Plot Suitable for Commercial & Residential Developments ,2nd Gate Festac Amuwo Odofin Lagos,"₦1,800,000,000",0 beds,0 baths,0 Toilets
184,6 numbers of 3bedroom flat,Ago palace Festac Amuwo Odofin Lagos,"₦90,000,000",0 beds,0 baths,0 Toilets
185,Diamond Estate land Federal CofO,Festac Amuwo Odofin Lagos,"₦7,000,000", beds, baths, Toilets
186,Luxury Hotel Development,Festac Amuwo Odofin Lagos,"₦350,000,000", beds, baths, Toilets
187,BLOCK OF FLATS,Festac town. First Avenue 101 Festac Amuwo Odofin Lagos,"₦135,000,000", beds, baths, Toilets
188,Properties on a 2acres of land + an Extra 1 plot of land ,Festac town Festac Amuwo Odofin Lagos,"₦600,000,000",10 beds,10 baths,10 Toilets
189,A 2 bedroom flat ,Amuwo Odofin Housing Estate close to Shoprite Festac Amuwo Odofin Lagos,"₦26,000,000",2 beds,2 baths,2 Toilets
190,spacious 6 bedroom duplex on about 2000sqm ,Festac Amuwo Odofin Lagos,"₦310,000,000",6 beds,5 baths, Toilets
191,DUPLEX,Festac Amuwo Odofin Lagos,"₦140,000,000",0 beds,0 baths,0 Toilets
192,CORNER PIECE PLOT OF LAND,15th Avenue Festac Amuwo Odofin Lagos,"₦30,000,000",0 beds,0 baths,0 Toilets
193,Commercial land available,Very close to the beach Costal town Festac Amuwo Odofin Lagos,"₦250,000,000",0 beds,0 baths,0 Toilets
194,Spacious 5bdrm duplex with 2bdrm bq @3th Avenue Festac for 67m neg.,3rd avenue Festac Amuwo Odofin Lagos,"₦67,000,000/year",5 beds,5 baths,5 Toilets
195,"5 BEDROOM HOUSE T9 TYPE AT SECOND AVENUE, FESTAC, LAGOS",Festac Amuwo Odofin Lagos,"₦60,000,000",5 beds,4 baths,5 Toilets
196,Nation Gardens Estate,"6th Avenue, Billionaire's Quaters Festac Amuwo Odofin Lagos","₦3,800,000", beds, baths, Toilets
